national_rank,scientific_name,common_name,class,order,family,phylum,top5,top10,evidence_support,evidence_support_label,direct_protective_context_count,direct_protective_chemical_count,warning_context_count,eligible_state_count,broad_life_stage_category_count,official_or_common_method_species,selection_incremental_gain_lower5,selection_objective_cumulative_lower5,incremental_expected_capture_lower5,validated_incremental_expected_capture_lower5,rank_scope,leave_one_out_loss_top5,support_note,cumulative_expected_capture_lower-5%,cumulative_expected_capture_lower-10%,cumulative_expected_capture_lower-20%
176,Lecane closterocerca,,Monogononta,Ploima,Lecanidae,Rotifera,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,0,0,1,False,5.335065505753153e-06,0.9998657019043362,0.00026934088151264746,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.9610395791178383,0.9978892109167284,0.9999861634088191
177,Lecane bulla,,Monogononta,Ploima,Lecanidae,Rotifera,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,0,1,1,False,5.127651208091834e-06,0.9998708295555442,0.000266620203814405,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.9613061993216527,0.9979090610527092,0.9999863241111299
178,Myriophyllum spicatum,,Magnoliopsida,Haloragales,Haloragaceae,Magnoliophyta,False,False,sparse_5_19,Limited (5-19 protective contexts),16,15,6,1,2,False,4.925035793619213e-06,0.9998757545913378,0.0002620942655211511,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.9615682935871739,0.9979306255734898,0.9999865290598933
179,Chironomus piger,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),4,1,0,0,1,False,4.731319938562325e-06,0.9998804859112764,0.00024797450562030754,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.9618162680927942,0.9979509228384272,0.9999867240635419
180,Chironomus maddeni,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,0,0,1,False,4.546098437545718e-06,0.9998850320097139,0.00024488383898169097,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.9620611519317759,0.9979708898029522,0.999986914619617
181,Chironomus luridus,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,0,0,1,False,4.3717798467406526e-06,0.9998894037895608,0.0002424693432115932,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.9623036212749875,0.997990585503633,0.9999871015203482
182,Puntius sophore,,Actinopterygii,Cypriniformes,Cyprinidae,Chordata,False,False,moderate_20_49,Moderate (20-49 protective contexts),29,15,6,0,2,False,4.204595324475971e-06,0.999893608384885,0.000249922679286918,,extended_r1_greedy_order,,,0.9625535439542744,0.998009165044523,0.999987253531908
183,Hydra americana,,Hydrozoa,Hydroida,Hydridae,Cnidaria,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),2,2,0,3,1,False,4.032033731054026e-06,0.9998976404186162,0.0002493373083120032,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.9628028812625864,0.9980285481336177,0.9999874195404389
184,Chironomus ramosus,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),3,1,1,0,1,False,3.878299648805028e-06,0.999901518718265,0.00023479946352211734,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.9630376807261085,0.9980474344063489,0.9999875965813018
185,Pimephales promelas,,Actinopterygii,Cypriniformes,Cyprinidae,Chordata,False,False,strong_50_plus,Strong (50+ protective contexts),899,375,76,12,5,True,3.7290702309313096e-06,0.9999052477884959,0.00025320956786001325,,extended_r1_greedy_order,,,0.9632908902939685,0.9980650775106129,0.999987741701444
